('L.', 'AS.', 'OF.')
('NL.', 'AS.', 'F.')
('AS.', 'OE.', 'NL.')
('L.', 'NL.', 'F.')
('NL.', 'OF.', 'OE.')
('OE.', 'NL.', 'AS.')
('OE.', 'NL.', 'OF.')
('OF.', 'OF.', 'OE.')
('NL.', 'F.', 'OE.')
('F.', 'OF.', 'AS.')
('NL.', 'OE.', 'L.')
('OF.', 'F.', 'F.')
('F.', 'F.', 'NL.')
('F.', 'F.', 'OF.')
('OF.', 'F.', 'OF.')
('OF.', 'OF.', 'F.')
('F.', 'NL.', 'AS.')
('F.', 'L.', 'OF.')
('OF.', 'OF.', 'L.')
('F.', 'OF.', 'F.')
('NL.', 'AS.', 'L.')
('AS.', 'F.', 'OF.')
('AS.', 'OF.', 'OF.')
('OE.', 'AS.', 'NL.')
('NL.', 'F.', 'AS.')
('NL.', 'OE.', 'AS.')
('OE.', 'NL.', 'L.')
('L.', 'OF.', 'NL.')
('AS.', 'NL.', 'F.')
('AS.', 'F.', 'NL.')
('OF.', 'NL.', 'L.')
('OE.', 'NL.', 'OE.')
('L.', 'NL.', 'OF.')
('OE.', 'OE.', 'NL.')
('NL.', 'F.', 'L.')
('OE.', 'NL.', 'F.')
('OF.', 'AS.', 'OF.')
('L.', 'L.', 'NL.')
('NL.', 'OF.', 'AS.')
('OF.', 'OE.', 'OF.')
('F.', 'NL.', 'L.')
('GR.', 'AS.', 'AS.')
('L.', 'OE.', 'NL.')
('AS.', 'GR.', 'AS.')
('OE.', 'AS.', 'GR.')
('OF.', 'L.', 'NL.')
('AS.', 'OF.', 'NL.')
('OE.', 'GR.', 'OE.')
('F.', 'OE.', 'NL.')
('AS.', 'NL.', 'NL.')
('GR.', 'OE.', 'AS.')
('OF.', 'NL.', 'OE.')
('OE.', 'OF.', 'NL.')
('L.', 'F.', 'OF.')
('OF.', 'OE.', 'GR.')
('NL.', 'NL.', 'OE.')
('F.', 'OF.', 'OF.')
('NL.', 'L.', 'OF.')
('OE.', 'OF.', 'OF.')
('L.', 'F.', 'NL.')
('F.', 'NL.', 'OE.')
('AS.', 'NL.', 'OF.')
('OF.', 'NL.', 'F.')
('AS.', 'F.', 'GR.')
('F.', 'GR.', 'F.')
('GR.', 'F.', 'AS.')
('NL.', 'OE.', 'F.')
('NL.', 'AS.', 'OF.')
('OF.', 'OE.', 'NL.')
('L.', 'NL.', 'NL.')
('NL.', 'NL.', 'AS.')
('NL.', 'AS.', 'NL.')
('NL.', 'L.', 'F.')
('NL.', 'OE.', 'NL.')
('NL.', 'OF.', 'L.')
('NL.', 'F.', 'F.')
('NL.', 'L.', 'NL.')
('OF.', 'NL.', 'AS.')
('NL.', 'OE.', 'OF.')
('NL.', 'OF.', 'F.')
('F.', 'NL.', 'F.')
('F.', 'OF.', 'NL.')
('L.', 'AS.', 'GR.')
('GR.', 'AS.', 'OE.')
('GR.', 'L.', 'AS.')
('AS.', 'AS.', 'GR.')
('AS.', 'GR.', 'L.')
('OE.', 'F.', 'NL.')
('NL.', 'OF.', 'OF.')
('OF.', 'L.', 'GR.')
('L.', 'GR.', 'L.')
('NL.', 'F.', 'OF.')
('NL.', 'NL.', 'L.')
('F.', 'NL.', 'NL.')
('AS.', 'GR.', 'OE.')
('OF.', 'F.', 'NL.')
('F.', 'GR.', 'OE.')
('GR.', 'L.', 'OF.')
('OF.', 'AS.', 'GR.')
('OE.', 'NL.', 'NL.')
('GR.', 'L.', 'F.')
('GR.', 'L.', 'OE.')
('OF.', 'NL.', 'NL.')
('OF.', 'OF.', 'NL.')
('GR.', 'L.', 'L.')
('AS.', 'L.', 'GR.')
('OE.', 'GR.', 'AS.')
('AS.', 'OE.', 'GR.')
('GR.', 'AS.', 'OF.')
('GR.', 'AS.', 'F.')
('GR.', 'OE.', 'L.')
('F.', 'NL.', 'OF.')
('OF.', 'NL.', 'OF.')
('GR.', 'AS.', 'L.')
('L.', 'OE.', 'GR.')
('OE.', 'GR.', 'L.')
('GR.', 'OE.', 'OE.')
('NL.', 'NL.', 'OF.')
('L.', 'L.', 'GR.')
('L.', 'GR.', 'AS.')
('OE.', 'L.', 'GR.')
('F.', 'L.', 'GR.')
('NL.', 'NL.', 'F.')
